animal_name,hair/fur,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathe,venomous,fins,tail,domestic,legless,quadruped,pet,night,horned
turtle,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0
lizard,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0
gecko,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0
python,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0
alligator,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0
skink,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0
fish,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
salamander,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0
frog,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0
mosquito,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
hornet,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0
butterfly,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cockroach,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
mantis,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
dog,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0
cat,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0
horse,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0
cow,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1
sheep,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0
goat,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1
pig,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1
chicken,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0
duck,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0
turkey,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0
elephant,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1
tiger,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0
shark,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0
mouse,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0
kangaroo,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0
ostrich,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
owl,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0
bat,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0
bear,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0
